X,Y,Conductivity 16 kHz,TIME
-109.2981633,-27.0882766,2412.611,28:43.2
-109.2981633,-27.0882766,2440.173,28:43.8
-109.298165,-27.088275,2453.069,28:44.3
-109.2981658,-27.088275,2454.902,28:44.8
-109.2981666,-27.088275,2452.64,28:45.3
-109.2981666,-27.088275,2450.296,28:45.8
-109.2981683,-27.088275,2447.783,28:46.3
-109.2981683,-27.0882766,2447.344,28:46.7
-109.2981683,-27.0882766,2444.379,28:47.3
-109.2981683,-27.0882766,2437.443,28:47.8
-109.2981683,-27.0882766,2421.371,28:48.3
-109.2981683,-27.0882766,2398.742,28:48.8
-109.2981666,-27.0882766,2369.572,28:49.3
-109.2981666,-27.0882766,2340.567,28:49.8
-109.2981683,-27.088275,2317.011,28:50.3
-109.2981683,-27.088275,2303.471,28:50.7
-109.2981666,-27.088275,2299.816,28:51.3
-109.2981666,-27.088275,2302.713,28:51.8
-109.2981666,-27.088275,2309.415,28:52.3
-109.2981666,-27.088275,2317.807,28:52.8
-109.2981666,-27.088275,2327.9,28:53.3
-109.2981666,-27.088275,2339.531,28:53.8
-109.2981666,-27.088275,2352.628,28:54.3
-109.2981683,-27.088275,2367.956,28:54.8
-109.2981683,-27.088275,2383.677,28:55.3
-109.2981683,-27.088275,2398.644,28:55.8
-109.2981683,-27.088275,2410.444,28:56.3
-109.2981683,-27.088275,2420.822,28:56.8
-109.2981683,-27.088275,2429.584,28:57.3
-109.2981683,-27.088275,2432.559,28:57.8
-109.2981683,-27.088275,2427.18,28:58.3
-109.2981666,-27.0882766,2412.443,28:58.7
-109.2981666,-27.0882766,2391.601,28:59.3
-109.298165,-27.0882766,2366.369,28:59.8
-109.298165,-27.0882766,2338.07,29:00.3
-109.298165,-27.0882766,2307.553,29:00.8
-109.298165,-27.0882766,2279.495,29:01.3
-109.298165,-27.088275,2257.141,29:01.8
-109.298165,-27.088275,2248.948,29:02.3
-109.298165,-27.088275,2252.723,29:02.8
-109.298165,-27.088275,2265.706,29:03.2
-109.298165,-27.088275,2279.55,29:03.8
-109.298165,-27.088275,2287.674,29:04.3
-109.298165,-27.088275,2290.729,29:04.8
-109.298165,-27.088275,2290.054,29:05.3
-109.298165,-27.088275,2292.659,29:05.8
-109.298165,-27.088275,2301.158,29:06.3
-109.298165,-27.088275,2318.292,29:06.8
-109.298165,-27.088275,2341.889,29:07.3
-109.298165,-27.088275,2367.48,29:07.8
-109.298165,-27.088275,2389.478,29:08.3
-109.2981666,-27.088275,2405.509,29:08.8
-109.2981666,-27.088275,2415.611,29:09.3
-109.2981666,-27.088275,2418.811,29:09.8
-109.2981666,-27.088275,2415.414,29:10.2
-109.2981666,-27.088275,2405.825,29:10.8
-109.2981666,-27.088275,2391.079,29:11.3
-109.2981666,-27.088275,2375.491,29:11.8
-109.2981666,-27.088275,2357.696,29:12.3
-109.2981666,-27.0882733,2338.089,29:12.8
-109.2981666,-27.0882733,2316.788,29:13.3
-109.2981666,-27.0882733,2294.938,29:13.8
-109.2981666,-27.0882733,2281.801,29:14.2
-109.2981666,-27.0882733,2273.66,29:14.7
-109.2981666,-27.0882733,2274.284,29:15.3
-109.2981683,-27.088275,2276.997,29:15.8
-109.2981683,-27.088275,2282.791,29:16.3
-109.2981683,-27.0882758,2293.194,29:16.8
-109.2981683,-27.0882766,2307.699,29:17.3
-109.2981683,-27.0882766,2327.35,29:17.8
-109.29817,-27.088275,2347.046,29:18.2
-109.29817,-27.088275,2367.098,29:18.8
-109.2981716,-27.088275,2388.962,29:19.3
-109.2981725,-27.088275,2414.596,29:19.8
-109.2981733,-27.088275,2445.007,29:20.3
-109.2981733,-27.088275,2474.525,29:20.8
-109.2981733,-27.0882766,2499.555,29:21.3
-109.2981733,-27.0882766,2515.093,29:21.7
-109.298175,-27.0882766,2522.9,29:22.2
-109.298175,-27.0882766,2524.487,29:22.8
-109.2981766,-27.0882766,2523.225,29:23.3
-109.2981766,-27.0882766,2525.989,29:23.8
-109.2981766,-27.0882766,2529.866,29:24.3
-109.2981766,-27.0882766,2533.345,29:24.8
-109.2981766,-27.0882766,2530.58,29:25.3
-109.2981766,-27.0882766,2522.178,29:25.7
-109.2981766,-27.0882766,2516.018,29:26.3
-109.2981766,-27.0882766,2502.155,29:26.8
-109.2981766,-27.0882766,2491.666,29:27.3
-109.2981766,-27.0882766,2472.572,29:27.8
-109.2981766,-27.0882766,2462.405,29:28.3
-109.2981766,-27.0882783,2454.413,29:28.8
-109.2981766,-27.0882783,2455.202,29:29.3
-109.2981766,-27.0882783,2464.641,29:29.7
-109.2981766,-27.0882783,2477.363,29:30.2
-109.2981766,-27.0882783,2495.462,29:30.8
-109.2981766,-27.0882783,2508.493,29:31.3
-109.2981766,-27.0882783,2527.021,29:31.8
-109.2981766,-27.0882783,2551.221,29:32.3
-109.2981766,-27.0882783,2587.3,29:32.8
-109.2981766,-27.0882783,2626.89,29:33.3
-109.2981766,-27.0882783,2663.853,29:33.8
-109.2981766,-27.0882783,2692.574,29:34.2
-109.2981766,-27.0882783,2710.605,29:34.8
-109.2981766,-27.0882783,2717.541,29:35.3
-109.2981783,-27.0882783,2715.378,29:35.8
-109.2981783,-27.0882783,2710.364,29:36.3
-109.2981783,-27.0882783,2704.223,29:36.8
-109.2981783,-27.0882783,2698.185,29:37.2
-109.29818,-27.0882783,2692.273,29:37.8
-109.29818,-27.0882783,2689.044,29:38.3
-109.2981783,-27.08828,2687.576,29:38.8
-109.2981783,-27.08828,2686.731,29:39.3
-109.2981783,-27.08828,2684.39,29:39.8
-109.2981783,-27.08828,2679.155,29:40.3
-109.2981783,-27.08828,2672.81,29:40.8
-109.2981783,-27.08828,2666.906,29:41.3
-109.2981783,-27.08828,2662.648,29:41.8
-109.2981783,-27.08828,2651.174,29:42.3
-109.2981783,-27.0882783,2636.563,29:42.8
-109.2981783,-27.0882783,2620.415,29:43.3
-109.2981783,-27.0882783,2608.826,29:43.8
-109.2981783,-27.0882783,2597.85,29:44.3
-109.2981783,-27.0882783,2583.574,29:44.8
-109.2981783,-27.0882783,2568.805,29:45.2
-109.2981783,-27.0882783,2553.65,29:45.8
-109.2981783,-27.0882766,2546.52,29:46.3
-109.2981783,-27.0882766,2546.79,29:46.8
-109.2981783,-27.0882766,2553.31,29:47.3
-109.2981766,-27.0882766,2564.26,29:47.8
-109.2981766,-27.0882766,2572.422,29:48.3
-109.2981783,-27.088275,2578.067,29:48.8
-109.2981783,-27.088275,2574.423,29:49.3
-109.2981783,-27.0882766,2566.579,29:49.8
-109.2981783,-27.0882766,2552.881,29:50.3
-109.2981783,-27.0882766,2533.144,29:50.8
-109.2981783,-27.0882766,2506.082,29:51.3
-109.2981783,-27.0882766,2473.305,29:51.8
-109.2981766,-27.0882766,2442.824,29:52.3
-109.2981766,-27.0882766,2422.76,29:52.8
-109.298175,-27.0882766,2417.263,29:53.3
-109.2981742,-27.0882766,2421.314,29:53.8
-109.2981733,-27.0882766,2426.544,29:54.3
-109.2981733,-27.0882766,2428.894,29:54.8
-109.2981733,-27.0882766,2426.477,29:55.3
-109.2981733,-27.0882766,2424.634,29:55.8
-109.2981733,-27.0882766,2423.578,29:56.3
-109.2981733,-27.0882766,2435.457,29:56.7
-109.2981716,-27.088275,2457.573,29:57.2
-109.2981716,-27.088275,2487.564,29:57.8
-109.2981716,-27.0882766,2511.039,29:58.3
-109.2981716,-27.0882766,2526.752,29:58.8
-109.2981716,-27.0882766,2541.003,29:59.3
-109.2981716,-27.0882766,2555.933,29:59.8
-109.2981716,-27.0882766,2567.191,30:00.3
-109.2981733,-27.0882766,2569.86,30:00.7
-109.2981733,-27.0882766,2567.97,30:01.3
-109.2981733,-27.0882783,2567.631,30:01.8
-109.2981733,-27.0882783,2568.442,30:02.3
-109.298175,-27.0882783,2568.389,30:02.8
-109.298175,-27.0882783,2568.715,30:03.3
-109.298175,-27.0882783,2568.184,30:03.8
-109.298175,-27.0882783,2564.633,30:04.3
-109.298175,-27.0882783,2552.968,30:04.8
-109.298175,-27.0882783,2536.607,30:05.2
-109.2981733,-27.0882783,2518.749,30:05.8
-109.2981733,-27.0882783,2506.9,30:06.3
-109.2981733,-27.0882783,2501.792,30:06.8
-109.2981733,-27.0882783,2508.862,30:07.3
-109.2981733,-27.0882783,2518.887,30:07.8
-109.2981733,-27.0882783,2536.152,30:08.3
-109.298175,-27.0882766,2558.77,30:08.8
-109.298175,-27.0882766,2585.43,30:09.3
-109.298175,-27.0882766,2604.479,30:09.8
-109.298175,-27.0882766,2609.403,30:10.3
-109.2981766,-27.0882766,2611.817,30:10.8
-109.2981766,-27.0882766,2615.838,30:11.3
-109.298175,-27.0882766,2624.287,30:11.8
-109.298175,-27.0882766,2630.759,30:12.2
-109.298175,-27.0882766,2635.01,30:12.8
-109.298175,-27.0882766,2630.974,30:13.3
-109.2981733,-27.0882766,2621.833,30:13.8
-109.2981733,-27.0882766,2610.431,30:14.3
-109.2981716,-27.0882783,2601.032,30:14.8
-109.2981716,-27.0882783,2589.491,30:15.3
-109.2981683,-27.0882783,2574.211,30:15.8
-109.2981683,-27.0882783,2557.62,30:16.3
